name,trip_count,route_count,geometry
Bettahalasuru Circle,1,1,POINT (77.61103 13.16112)
Bettahalasuru Cross,35,10,POINT (77.62358 13.15656)
Bettahalasuru Hospital,15,1,POINT (77.61154 13.15922)
Bettahalasuru Village,10,3,POINT (77.60857 13.16285)
Bettahalli,299,75,POINT (77.38642 13.16378)
Bettahalli Colony,147,41,POINT (77.44321 13.01532)
Bettahalli Cross,52,12,POINT (77.43473 13.00817)
Bettahalli Gate,12,3,POINT (77.81308 13.19324)
Bettahalli Kaval,52,14,POINT (77.50918 12.73518)
Bettahalli Layout,81,29,POINT (77.55947 13.0924)
Bettahallipalya,13,5,POINT (77.39286 13.16176)
Bettakote,3,2,POINT (77.73925 13.19941)
Bettanapalya,1,1,POINT (77.44335 12.91199)
Bevina Mara Kannamangala,77,33,POINT (77.76037 13.02809)
Bhadrappa Layout,35,15,POINT (77.57339 13.0472)
Bhagya Nagara,7,3,POINT (77.58551 12.86084)
Bhaktharahalli,14,3,POINT (77.79462 13.02044)
Bhaktharahalli Cross,1,1,POINT (77.78448 13.01851)
Bhakthi Yoga Ashrama,16,8,POINT (77.6893 13.02262)
Bhakthipura Cross,22,7,POINT (77.76182 12.75742)
Bharath Nagara 1st Phase,63,27,POINT (77.48513 12.98117)
Bharath Nagara 2nd Stage,1,1,POINT (77.47789 12.97866)
Bharathi Nagara,12,3,POINT (77.61746 13.1374)
Bharathi Nursing Home Jayanagara,2,2,POINT (77.57404 12.9369)
Bharathnagara Sunkadakatte,131,19,POINT (77.50205 12.97957)
Bhattarahalli,36,8,POINT (77.70898 13.01951)
Bhattarahalli Cross,2,1,POINT (77.70932 13.01618)
Bhavapura,63,27,POINT (77.8704 13.18427)
Bheemanakuppe Cross,4,3,POINT (77.43676 12.89479)
Bhimakanahalli Gate,4,2,POINT (77.85597 13.13531)
Bhodhana Hosahalli,71,9,POINT (77.80248 12.97886)
Bhoopasandra,23,6,POINT (77.58086 13.04244)
Bhoopasandra Ayyappa Bakery,7,3,POINT (77.57715 13.04263)
Bhovipalya,175,31,POINT (77.64509 13.20163)
Bhuvanahalli,6,2,POINT (77.86156 13.18512)
Bhuvanahalli Gate,12,4,POINT (77.6798 13.21859)
Bhuvaneshwari Nagara,2,2,POINT (77.54904 12.92298)
Bhuvaneshwari Nagara 1st Stage,40,6,POINT (77.4903 12.94227)
Bhuvaneshwari Nagara 2nd Stage,13,5,POINT (77.48728 12.94262)
Bhuvaneshwari Petrol Bunk,9,5,POINT (77.35144 13.13876)
Bible  College Byrathi,11,3,POINT (77.65145 13.07137)
Bidadi,65,23,POINT (77.38458 12.7969)
Bidadi Railway Station,186,28,POINT (77.39082 12.79976)
Bidalapura,1,1,POINT (77.7706 13.1877)
Bidalapura Cross,10,4,POINT (77.76205 13.18946)
Bidaragere,47,26,POINT (77.72302 12.71566)
Bidaraguppe,159,34,POINT (77.7836 12.80593)
Bidarahalli,51,12,POINT (77.71696 13.06539)
Bidarahalli Cross,10,5,POINT (77.71517 13.05692)
Bidarahalli Dargah,8,1,POINT (77.70807 13.06834)
Bidarahalli School,9,4,POINT (77.71626 13.05997)
